Table 1
Obj. ID,Object number,Catalogue Number,Catalogue,Catalogue text,Notes/Queries for WA
,WA1947.174,522,Penny 1992,,
,1948.unnumbered,595,Penny 1992,,What does 'unnumbered' mean? How are we going to match it?
,WA1952.38,526,Penny 1992,,
,WA1952.53,564,Penny 1992,,
,WA1952.108,539,Penny 1992,,
,WA1952.109,541,Penny 1992,,
,WA1953.73,"574, 575",Penny 1992,,
,WA1956.45,570,Penny 1992,,
,WA1956.46,487,Penny 1992,,
,WA1957.62,513,Penny 1992,,
,WA1958.35,602,Penny 1992,,
,WA1959.23,"593, 594",Penny 1992,,
,WA1961.32,600,Penny 1992,,
,WA1963.83,"571, 572",Penny 1992,,
,WA1963.126,567,Penny 1992,,
,WA1963.15,"469, 451, 452, 569, 608, 609",Penny 1992,,
,WA1964.51,464,Penny 1992,,
,WA1965.8,457,Penny 1992,,
,WA1965.1,557,Penny 1992,,
,WA1965.44,584,Penny 1992,,
,WA1966.39,573,Penny 1992,,
,WA1968.15,556,Penny 1992,,
,WA1968.29,488,Penny 1992,,
,WA1968.468,579,Penny 1992,,
,WA1968.474,460,Penny 1992,,
,WA1969.136,495,Penny 1992,,
,WA1972.284,598,Penny 1992,,
,WA1973.29,587,Penny 1992,,
,WA1975.9,474,Penny 1992,,
,WA1987.8,445,Penny 1992,,
,WA1987.103,461,Penny 1992,,
,WA1987.104,462,Penny 1992,,
,WA1947.121,529,Penny 1992,,
,WA1987.166,544,Penny 1992,,
,WA1987.167,543,Penny 1992,,
,WA1987.168,545,Penny 1992,,
,WA1988.362,582,Penny 1992,,
,WA1988.363,583,Penny 1992,,
,WA1988.243,483,Penny 1992,,
,WA1988.301,576,Penny 1992,,
,WA1988.338,496,Penny 1992,,
,WA1989.4,563,Penny 1992,,
,B423,491,Penny 1992,,
,B451,492,Penny 1992,,
,B1038,610,Penny 1992,,
,B1039,611,Penny 1992,,
,C291,585,Penny 1992,,
,C292,586,Penny 1992,,
,C467,530,Penny 1992,,
,C468,531,Penny 1992,,
,S34,514,Penny 1992,,
,S35,515,Penny 1992,,
351647,WA1927.45,447,Penny 1992,,
739407,WA1927.35,482,Penny 1992,,
389673,WA1927.36,484,Penny 1992,,
737335,WA1927.27,505,Penny 1992,,
737331,WA1927.42,494,Penny 1992,,
741726,WA1927.37,481,Penny 1992,,
349460,WA1927.44,538,Penny 1992,,
738528,WA1927.20,498,Penny 1992,,
737341,WA1927.43,562,Penny 1992,,
737337,WA1927.28.1,506,Penny 1992,,
737338,WA1927.28.2,507,Penny 1992,,
737336,WA1927.29,511,Penny 1992,,
350076,WA1927.46,470,Penny 1992,,
737332,WA1927.22,499,Penny 1992,,
767074,WA1927.26,503,Penny 1992,,
754660,WA1927.24,504,Penny 1992,,
737334,WA1927.34,501,Penny 1992,,
389674,WA1927.21,497,Penny 1992,,
753546,WA1927.30,508,Penny 1992,,
753547,WA1927.31,509,Penny 1992,,
753348,WA1927.32,510,Penny 1992,,
739406,WA1927.38,485,Penny 1992,,
389676,WA1927.33,512,Penny 1992,,
739409,WA1927.25,502,Penny 1992,,
737333,WA1927.23,500,Penny 1992,,
737330,WA1927.39,486,Penny 1992,,
737340,WA1927.41,533,Penny 1992,,
737339,WA1927.40,532,Penny 1992,,
351646,WA1947.250,347,Penny 1992,,
741878,WA1947.279,373,Penny 1992,,
