ids,notes,author,ref,artist,title,description,literature,text
WA1897.33,"1. Quoted in Rutherford (2013) p. 115.

2. Ibid.

3. Stainton and White (1987) no. 80.",CP,1,Samuel Cooper 1609–1672,"Thomas Alcock, c. 1650","Black chalk heightened with white on paper
17.7 x 11.3 cm
Inscribed on the backboard of the original
frame: This Picture / was drawne for mee /
at the Earle of West- / -morelands house / at
Apethorpe, in / Northamptonshire / by the
Greate, tho’ little, / Limner, the then famous
/ Mr. Cooper of Covent / Garden: when I was
/ eighteen years of / age / Thomas Alcock /
preceptor.
Bequeathed by Dr Richard Rawlinson, 1755
WA1897.33","Literature: Foskett (1974) no. 141;
Brown (1982) no. 115; Stainton and White
(1987) no. 74; Rutherford (2013) no. 43","Described in 1669 by Cosimo III de’ Medici as ‘a tiny man [piccinetto], all wit and courtesy’, Samuel Cooper is perhaps best known for his ‘warts and all’ portrait of Oliver Cromwell of the early 1650s, though in 1663 he was also appointed Court painter to Charles II following the Restoration.1 Only a handful of drawings by Cooper survive, but the quality of this portrait reveals him to be a highly skilled draughtsman. The black chalk is applied with confident economy, creating the soft shading of the face and loose curls of the hair with a freedom unexpected in a miniature painter. Edward Norgate, in his Miniatura, or the Art of Limning (c. 1646), specifically praised Cooper’s ‘crayon drawings’, or pastels, for their ‘likeness, neatness and roundness’.2

The turn of the head, the relaxed mouth and steady gaze of the young man bear a strong resemblance to a drawing thought to show Cooper’s uncle, John Hoskins, suggesting a similar date.3 The inscription on the back of the original frame identifies the subject as one Thomas Alcock, though there has been some conjecture as to who this may have been. He has most recently been identified as the author of the dedicatory epistle to a manuscript of The Famous Pathologist, or the Noble Mountebank, presented in 1687 to Lady Anne Baynton, daughter of John Wilmot, Earl of Rochester (1647–1680). This describes how Rochester, aided and abetted by Alcock, disguised himself as an Italian quack doctor ‘Alexander Bendo’ and as a ‘grave Matron’ to gain access to ladies’ bedchambers. These escapades were said to have taken place c. 1675–6, after Rochester had been expelled from Court for his lascivious behaviour. If this is indeed the case, then the wide-eyed innocence of Alcock’s expression belies his somewhat dubious morality.

The title ‘preceptor’ indicates the role of tutor, and Alcock was employed by Mildmay Fane, 2nd Earl of Westmorland, to teach his numerous offspring, probably from about 1645. (Fane was imprisoned in the Tower of London in 1642–3.) A patron of the poet Robert Herrick, Fane wrote masques and poetry, and six of his ‘politicized entertainments’ were performed at his seat, Apethorpe, during the 1640s. His nephew, Francis Fane (d. 1691), was a friend of Rochester, so Alcock could have come to know the poet through his association with the Fanes.

This drawing once belonged to the antiquary Dr Richard Rawlinson (1690–1755) who bequeathed it to the Bodleian Library, together with a large collection of books and manuscripts. One wonders whether Rawlinson, as a clergyman, would altogether have approved of Alcock’s antics. CP"
[],"1. Millar (1978) no. 114.

2. Ashmolean Museum, WA2002.55.

3. British Museum, 1855,0811.175 and 1871,1209.2274.

4. 1946,0713.1267.a.

5. Stainton and White (1987) pp. 129–37.",,2,Sir Peter Lely 1618–1680,"Sir Henry de Vic, Chancellor of the Order of the Garter, c. 1665–70","Black oiled chalk, heightened with white,
on blue-grey laid paper
49 x 31.8 cm
Inscribed: Chancellor of the Order; the
original inscription: De Canclier ven d Ordre /
de mantel violet fluweel [purple velvet mantle],
is now beneath an engraved portrait of the
artist in Sutherland’s Grangerised copy of
Dibdin’s Bibliographical Decameron (Bodleian
Library)
Presented by Mrs A. H. Sutherland, 1837
WA.B.II.722","Literature: Millar (1978) no. 114; Brown
(1982) no. 154; White, Whistler, Harrison
(1992) no. 89","Seen as the successor to Van Dyck as the most prominent portrait painter in England, Lely was appointed principal painter to Charles II in 1661. The 30 or so drawings he made of members of the Order of the Garter have been described as ‘among the most powerfully baroque drawings ever produced in England’.1 Now scattered among numerous collections, they illustrate the procession that took place annually on 23 April, the Feast of St George. The elaborate ceremonies of the Order were revived following the Restoration, with the formal robes being completely redesigned.

Lely may have been inspired by an oil sketch he owned by Van Dyck showing Charles I and the Knights of the Garter in Procession (1638).2 This served as model for tapestries to decorate the Banqueting Hall in Whitehall. Lely’s drawings are also related to prints designed by Wenceslaus Hollar (1607–1677) for Elias Ashmole’s Laws and Ceremonies of the Most Noble Order of the Garter (1672). Here Sir Henry de Vic (c. 1599–1671), a Guernsey-born courtier appointed Chancellor in 1660, holds himself formally erect, as befits his position. Lely displays great skill in his representation of the fall of light over the heavy velvet mantle, in contrast to the mechanically repeated vertical pleats of Hollar’s figures. The three-tasselled purse carried by de Vic is very similar to Hollar’s print of the Bag of the Seal of the Garter, while the large tassel dragging on the floor also appears in Hollar’s etching showing the Chancellor’s mantle.3 These accurate details suggest access to the ceremonial robes themselves.

There is no evidence of a specific commission for the procession drawings. However, as offsets exist for several of them, they were probably working drawings of some kind; a double offset of this drawing is in the British Museum.4 The fact that the figures are sometimes shown in pairs implies that they formed part of a larger compositional whole, rather than being individual portraits; but the high degree of finish suggests that they were commissioned by an important client.5 As Lely’s friend, the architect Hugh May, carried out renovations for Charles II at Windsor in the 1670s, Lely may have designed a scheme for tapestries or mural decoration for the new state apartments there.

This fine drawing was originally bound into an extra-illustrated edition of Bishop Burnet’s History of his own Time (1724–34), where it illustrated a reference to Burnet’s tenure as Bishop of Salisbury from 1689. De Vic was the last lay Chancellor of the Order, and following his death the role was conferred on the Bishop of Salisbury. CP"
WA1955.34,"1. Buckeridge (1754) dedication.

2. Quoted in Neil Jeffares, http://www. pastellists.com/Articles/Ashfield.pdf, accessed 9 January 2015.

3. Buckeridge (1754) p. 355.

4. Quoted in Neil Jeffares, http://www. pastellists.com/Articles/Ashfield.pdf, accessed 9 January 2015.",CP,3,Edmund Ashfield 1640–1679,"Portrait of an Unknown Man, 1673","Coloured chalk with some bodycolour on
buff laid paper
26.8 x 21.8 cm
Signed and dated: EA F 1673
Purchased, 1955
WA1955.34","Literature: Brown (1982) no. 56;
Jeffares (2006) p. 38","According to Neil Jeffares, the pastellist Edmund Ashfield was born in Little Missenden, Buckinghamshire, the son of Hampden Ashfield and the grandson of Sir Edmond Ashfield of Chesham, to whom Henry Peacham dedicated his treatise on drawing, Graphice, published in 1634. Bainbrigg Buckeridge described Ashfield as ‘a gentleman well descended’ in his ‘Essay Towards an English School of Painters’ of 1706.1

The antiquary Thomas Hearne (1678–1735) praised Ashfield in 1709 as having ‘a Genius for painting, especially for Craons’, while Buckeridge noted that he was the first to increase the number and variety of tints in pastel, using them to paint in imitation of oils ‘with equal force and beauty’.2 Most of his known works date from between 1673 and 1676, and according to Buckeridge he practised ‘with deserved applause’, charging as much as £10 a head for his portraits.3 He seems to have moved from his London home in Holborn Row, Lincoln’s Inn Fields, to Tickenham Court in Somerset following his marriage to the wealthy heiress, Eleanor Goodricke, in 1676.

In his Epitome of Painting (1683), the pastellist Edward Luttrell (c. 1650–1737), who appears to have been trained by Ashfield, explained how his master freed pastel from its role as a preparatory medium for the making of engraved portraits and ‘brought itt to a perfection’, so that it came to be valued in its own right. Ashfield’s memory will never die, he declared, ‘Butt ever flourish whiles tyme permitts those admirable pictures to endure … as Monuments of his Ingenuity’.4 The extraordinary state of preservation of this drawing shows how brilliant pastels were in colour and indicates why such works came to be highly prized by contemporaries as finished portraits, increasingly valued on a par with oil paintings, though somewhat cheaper.

The tonal depth and high level of finish in this magnificent portrait – one of the earliest by Ashfield to survive – demonstrates the new, more painterly use of coloured chalks. However, the buff paper is still used as a middle tone in the white stock under the sitter’s chin and in the sleeve, in the traditional manner. The richness of tone in the hair and eyes rivals the qualities of oil painting, while the glints of pure white picked out in the eyes, lip, and brooch are dazzling in their intensity. Such unabashedly eye-catching qualities were to lead later eighteenth- century commentators, including the satirist John Wolcot (alias ‘Peter Pindar’), to criticise pastel as a ‘meretricious’ and showy medium, not worthy of the serious consideration of connoisseurs. CP"
WA1940.50,"1. http://www.pepysdiary.com/diary/1666/ 11/07/, accessed 9 January 2015.

2. Buckeridge (1754) pp. 371–2.",CP,4,William Faithorne ?1616–1691,"Portrait of a Man, probably Thomas Dare, 1679","Pastel and black chalk on cream laid paper
26.7 x 21.6 cm
Inscribed and dated: To the Kings most
Excelent Maj:tie / January: 26. 1679. / W.
Faithorne delt
Purchased, 1940
WA1940.50",Literature: Brown (1982) no. 125,"Having trained initially as an engraver, William Faithorne fought for the Royalist cause beside his master, Robert Peake, in the early 1640s, and was imprisoned following the two-year siege of Basing House. The delicate details of this sensitive portrait in pastel and chalk suggest the influence on Faithorne’s style of his extended period of banishment in Paris during the Civil War, between 1647/8 and 1651/2. There, he absorbed the French vogue for highly finished portrait drawings, notably those by the portrait engraver Robert Nanteuil (1623–1678).

On his return to London in 1651/2 Faithorne established a print shop at Temple Bar, dealing in foreign prints and artists’ materials. He became highly regarded for his engraved frontispieces, book illustrations and, especially, his portrait prints, considered by Horace Walpole to represent the very best produced in seventeenth-century England. In 1660 he was appointed ‘engraver in copper’ to Charles II. The diarist Samuel Pepys records a visit to Faithorne’s shop on 7 November 1666, when he especially admired a portrait in coloured chalks, a highly fashionable medium in this period: ‘The picture in chalke is the finest thing I ever saw in my life, I think’.1 A prolific yet subtle draughtsman, Faithorne here uses the buff colour of the paper to create a halo of light round the subject’s head, lifting the effect of the formal wig with its tight curls.

Shortly after the date of this work, Faithorne retired from his shop to Blackfriars, where he concentrated on producing chalk portraits. This example is presumed to represent the wealthy Dissenter Thomas Dare II (1643–1685), who was an eminent silversmith and one of the burgesses of Taunton, Somerset. Examples of his work can be found in the Bishop’s Palace in Wells and the Museum of Somerset. In January 1679, Dare presented a petition to Charles II, requesting that he take action against Popish Recusants; the scroll is depicted in his right hand. Having been jailed for sedition, he fled to Holland, where he became Paymaster General of the doomed Monmouth Rebellion of 1685. Shortly after landing on the Dorset coast, an unfortunate altercation took place over a horse between Dare and the Scottish cavalry commander of the rebellion, Andrew Fletcher of Saltoun. Infuriated at being whipped by Dare, Fletcher shot him dead, instantly depriving Monmouth of valuable financial backing and local West Country influence.

Bainbrigg Buckeridge quotes the following lines of verse: ‘A Faithorn sculpsit is a charm can save / From dull oblivion, and a gaping grave.’2 Dare’s portrait does not appear to have been engraved, but his appearance is nonetheless preserved. CP"
WA1934.412,"1. Quoted in Stewart (1971) p. 6.

2. Quoted in J. Douglas Stewart, ‘Kneller, Sir Godfrey, baronet (1646– 1723)’, Oxford Dictionary of National Biography, online edn. (2010), www. oxforddnb.com/view/article/15710, accessed 6 January 2015.

3. National Portrait Gallery, D11585.

4. British Museum, P,7.214.

5. Quoted in Suttle (1940) p. 128.",CP,5,Sir Godfrey Kneller 1646–1723,"Henry Aldrich, Dean of Christ Church, 1696","Black chalk heightened with white,
on rough grey laid paper
29.2 x 23.3 cm
Purchased (Hope Fund), 1934
WA1934.412","Literature: Brown (1982) no. 151;
Stewart (1971) no. 44; Stewart (1983) III
no. 34","James Northcote, assistant to Sir Joshua Reynolds, remarked in the 1810s that Kneller’s works had fallen in esteem, for ‘the great mass of his works are such hasty slobbers, that they are scarcely fit to be seen’.1 This lively portrait with its vigorous handling demonstrates the unfairness of this judgment, underlining the genius of Kneller at his best: George Vertue described him as ‘the Morning Star for all other Portrait Painters in his Time’.2

Vertue particularly praised Kneller’s ability to capture a true likeness. This rapidly executed sketch has all the immediacy of a portrait taken from life, catching the essential qualities of Dean Aldrich (1648–1710). An erudite logician, collector, composer, and amateur architect, he must have been a highly sympathetic and stimulating sitter. Aldrich became Vice-Chancellor of the University of Oxford in 1692, and it was partly through his good offices that Kneller was awarded an honorary doctorate in 1695. This is undoubtedly a preparatory study for the portrait of Aldrich now at Christ Church, probably occasioned by this event; it is dated 1696 from a mezzotint by John Smith.3

Kneller introduced into England the practice of drawing heads full-size so that they could be transferred directly on to canvas, rather than being squared up; the fact that the painting is in reverse of the drawing suggests that he used an offset method for transfer. The study is similar in technique to Kneller’s portrait of the engraver Peter Vanderbank, with its deft application of highlights and fluent curves of loosely falling hair.4 The sharpest touch of white and the darkest touch of black appear below and above Aldrich’s right eye respectively, drawing us into his gaze. Multi-directional hatching around the jowls and forehead describe the forms in the manner of an engraving, while Kneller’s characteristic zigzag shading can be found beneath the right eye, around the chin and in the ear lobe. There is a Baroque verve in the drawing that reflects the lively intelligence of the sitter.

In the painting, the head is tilted back slightly, giving Aldrich a somewhat guarded expression. He appears more idealised than in the drawing, acquiring a magisterial air at the expense of humour. In reality Aldrich had a reputation as a bon viveur and ‘punner of the first value’, producing a translation from Latin of a popular poem on drinking:

If all be true that I do think,

There are five reasons we should drink,

Good wine, a friend, or being dry,

Or lest we should be by and by,

Or any other reason why.5 CP"
WA1945.135,"1. See, for example, Musée du Louvre, MR 224.

2. British Museum, 1868,0822.1515.

3. National Portrait Gallery, D1948.",CP,6,Jonathan Richardson 1665–1745,"James Figg, 1714","Black, white and pink chalks on blue
laid paper
29 x 22.5 cm
Inscribed by Richardson the Younger:
Figg Gladiator ad Vivum 14. Inscribed:1714
Purchased (Hope Fund), 1945
WA1945.135","Literature: Brown (1982) no. 1532;
Stainton and White (1987) no. 182","James Figg (before 1700–1734) was a prize-fighter born at Thame in Oxfordshire, where the name of a public house still records his fame. The fact that this drawing describes Figg as a ‘Gladiator’ rather than a bare-knuckle boxer ties his use as a model to the academic tradition, conjuring up images of the classical statues later used as examples in the Royal Academy drawing schools, including the ‘Borghese Gladiator’.1 This Antique statue actually shows a swordsman, which is appropriate since Figg ran a school for arms in London from c. 1714, instructing his students in fencing and the use of the backsword and quarterstaff. He opened an amphitheatre in Oxford Road (now Oxford Street), where sporting competitions and exhibitions of swordsmanship were held, and also taught the arts of self-defence to wealthy pupils from the gentry and nobility. In 1729, as a result of these social contacts, he was appointed gatekeeper of Upper St James’s Park.

Figg’s fame led to his being portrayed in William Hogarth’s engraving Southwark Fair (1734), where he regularly demonstrated his skill in different forms of combat. He sits astride a horse on the far right of the print, grim- faced, with sword raised.2 A similarly focused, frowning expression appears in Richardson’s study of Figg, inscribed in the handwriting of the artist’s son as having been taken from the life. Soldiers and prize-fighters such as Figg were often selected by artists to act as life models because of their well-defined musculature. They may also have been seen to embody the spirit of Greek classical art through their physical prowess and bravery; the inscription under John Faber’s mezzotint (1727–9) of Figg, after a painting by John Ellys, celebrates ‘The Vigour of his Arme, the Quickness of his Eye’.3

The loose handling of this drawing is in strong contrast to the tight control of Richardson’s portrait of Dr Mead (cat. 7), partly dictated by the medium of black chalk, which lends itself to sweeping strokes and soft modelling. Richardson has used more blending and smudging here than in some of his other chalk drawings, which are often sharply hatched in all directions. The modelling of the muscles in the arms and concern for an exact outline to the figure seem to be the artist’s primary focus. The use of black chalk with white heightening, employing the blue of the paper as a middle tone, is typical of life-drawing techniques in this period, and the style of Kneller’s Great Queen Street Academy in particular. CP"
WA1938.110,"1. Gibson-Wood (1994) pp. 203–29, especially pp. 209–13.

2. Ashmolean Museum, WA1936.193.

3. British Museum, Q,1.107.",CP,7,Jonathan Richardson 1665–1745,"Dr Richard Mead, c. 1739","Graphite on vellum
17.8 x 13.8 cm
Inscribed on old mount: Dr Mead
Purchased (Hope Fund), 1938
WA1938.110",Literature: Brown (1982) no. 1534,"At his death in 1745, Jonathan Richardson left almost 550 of his own portrait drawings to his son. These can be broadly divided between carefully finished studies in plumbago, or graphite, on vellum, and looser sketches in black and/or red and white chalks on blue paper, such as that of James Figg (cat. 6). Carol Gibson-Wood has plausibly argued that the more finished portraits might have been designed for the purposes of private contemplation – part of a personal album depicting people of importance in Richardson’s life. This would have acted as a form of memento mori, in line with his theory of portraiture as a genre that encouraged moral improvement through contemplation of the deeds of great men.1

Certainly, the life of Richard Mead (1673–1754) was an inspiring one. He rose to eminence in the field of medicine, as well as being a respected bibliophile and collector of antiquities, curiosities, and works of art. Best known, perhaps, for his support for the Foundling Hospital, one of the first venues for the public viewing of art in Britain, Mead also made his personal collection available to artists and to the public.

This portrait seems to have been based on a detailed drawing in coloured chalks on blue paper in the British Museum. Dated 5 October 1738, it was doubtless preparatory to Richardson’s portrait of Mead, produced c. 1738 (fig. 26). There is no doubt that this was a working drawing from life – a second attempt at drawing Mead’s lips has been made in the lower left part of the sheet. The portrait gives Mead a fuller, blander face, and lacks the sensitivity and psychological penetration of the drawing.

The Ashmolean portrait on vellum is most closely connected with a profile portrait of Mead.2 The two works must have been made at the same time, as they use the same media and are of the same size; the heads both measure exactly 8 cm from hairline to chin. The profile was produced as an etching, though there does not appear to be an equivalent print for the full-face version.3

The quality of drawing in the Mead portrait is deft and precise, deliberately emulating the technique of Old Master drawings in silverpoint which Richardson admired and collected. Dense hatching in closely packed parallel strokes describes the surface of the face, while the hair is more economically drawn with repeated calligraphic curves, highly characteristic of this artist. The handling displays great delicacy without losing the spontaneity of the original sketch. CP"
WA1942.24,"1. Quoted in Brown (1982) p. 518.

2. Ashmolean Museum, WA1960.76.

3. Campbell (2013) p. 25.

4. Ingamells (1997) p. 797.

5. Smart (1992) p. 119.",CH,8,Allan Ramsay 1713–1784,"A Nude Woman seen from Behind, probably 1754–7","Black and white chalk touched with red on
blue paper
41 x 27.5 cm
Presented by Percy Moore Turner, 1942
WA1942.24",Literature: Brown (1982) no. 1508,"Allan Ramsay’s father, the distinguished poet and author Allan Ramsay (1684–1758), joined a group of friends in establishing the short-lived Academy of Saint Luke in Edinburgh in 1729, where the artist made his first copies after Old Master drawings and casts of Antique sculptures. He later studied with Hans Hysing (1678–1752) in London, and made the first of his four journeys to Italy in 1736–8. With strongly antiquarian interests, he made drawings of classical statues in the Uffizi in Florence, and in Rome. Although Ramsay was formally instructed by the portrait and history painter Francesco Imperiali (1679–1740), he also frequented the life class in the French Academy.

In spite of this assiduous study, on his return to England, George Vertue complained that ‘I don’t understand, when he draws in the Accademy [sic] from human nature he has any great skill or practice therein’.1 Nevertheless, Ramsay quickly became the most prominent portrait painter in London, his sitters including leading Scottish and English aristocrats. In 1745 he was summoned to Holyroodhouse to paint the young Pretender, Prince Charles Edward Stuart, and his portrait of Flora MacDonald became one of the most popular of the century.2 In his Dialogue on Taste (1755), Ramsay explained his conception of the ‘natural portrait’, which owed much to his French contemporaries.

It has been convincingly argued that Ramsay’s second visit to Italy, from 1754 to 1757, marked a period of decisive change in his style, away from the slight hardness and glassy surface of the early portraits towards a softness and malleability characteristic of his last decade.3 In Rome he took lodgings on the unfashionable Viminale, far from the high life of the Piazza di Spagna. The architect Robert Adam noted that he was thus able to ‘preserve the greatest part of his time for painting, drawing and reading … and as Mrs Ramsay is of so good a family and Mumpy [as Ramsay was known] himself so rich they are no discredit’.4 They did, nevertheless, hold a popular weekly salon. Apart from painting a few portraits, Ramsay’s principal purpose was again to continue his studies. He went regularly to the French Academy, where, under its new Director, Charles-Joseph Natoire, life drawing had taken on greater importance, and where students were encouraged to make landscape drawings in the open air. Most surviving drawings from this period are of the male model, and it is possible that this female nude was made at the St Martin’s Lane Academy in 1758, after Ramsay’s return to London. Whatever the precise circumstances of its creation, its delicacy and refinement certainly owe much to the example of Natoire.5 CH"
[],"1. Knole, National Trust, 12993; Mannings (2000) no. 2172.

2. Postle (2005) p. 271.

3. Mannings (2000) p. 545.",,9,Sir Joshua Reynolds 1723–1792,"Study of Charity, c. 1778","Pen and brown ink with wash over
indications in graphite on paper
29 x 18 cm
Lent by the Warden and Fellows of
New College, Oxford, 1997
LI838.1","Literature: Postle (1995) pp. 168–85;
Mannings (2000) no. 2116","In 1777 Thomas Jervais was appointed to complete the stained glass renovation begun at New College, Oxford, in the mid-1760s. He recommended that Benjamin West provide the designs, but in July the commission was awarded to Sir Joshua Reynolds, partly through the negotiations of Thomas Warton, an academic who was also a friend of the artist. Reynolds was best known as a portraitist, but once elected to the Presidency of the newly created Royal Academy of Arts in 1768, he campaigned vigorously to raise the status of British art. His Discourses promoted artistic practice based upon a close study of the Antique and drawing after the live model, while he increasingly produced ‘fancy’ pictures and in 1773 exhibited his first major history painting, Count Ugolino and his Children.1

Reynolds had ample opportunity to study Antique sculpture and paintings by the Old Masters during his time in Italy in 1750–2, and he probably drew from the life model at the St Martin’s Lane Academy. Yet he later privately confessed that his draughtsmanship of the human figure was not as adept as it might be.2 This is certainly borne out by this typically swift sketch of the figure of Charity, for the centre of the lower register in the New College west window, as the principal of the seven Virtues. Reynolds was originally requested to make ‘drawings or cartoons’, but recounted that ‘he had been so long in the use of the pallet and brushes, that he found it easier to him to paint them to drawing’.3 This had the additional benefit of providing a coloured exemplar for Jervais and enabling Reynolds to exhibit the preparatory paintings, judiciously advertising the commission to his London audience.

This early study follows Ripa’s Iconologia (first published 1593), in which Charity suckles an infant held in her left arm with two children at her feet. The additional infant is a departure from Ripa’s emblem, and the lively pen-work indicates the improvisatory nature of the drawing. Reynolds later simplified the group and, sensitive to the mores of eighteenth-century society, removed the element of nudity. Furthermore, he based the subsequent compositions upon an engraving of an Antique statue of Niobe, while using Mrs Sheridan (née Linley) as a model, astutely combining his theoretical promotion of the Antique with the depiction of a recognisable celebrity. The Nativity for the window’s upper register, inspired by Correggio’s La Notte, also featured Mrs Sheridan, developed from an earlier, abortive plan, led by Reynolds, to decorate St Paul’s Cathedral. The New College commission received mixed reviews upon completion in 1785, but this initial study is an undeniably charming depiction of innocent merriment. KW"
[],"1. Quoted in Brown (1984–5) p. 10.

2. Royal College of Surgeons, London, RCSSC/P 242.

3. Royal Collection, IN 400747.

4. WA1952.28

5. Hunterian Museum, Glasgow, GLAHA42340.

6. Piper (1952) pp. 198–9.",,10,Charles Grignion II 1753–1804,"Tan-Che-Qua, ‘Chitqua’ RA, 1771","Black and white chalk on buff paper
51.2 x 36.4 cm
Provenance unrecorded
WA.OA252",Literature: Brown (1984–5) p. 10,"This large, impressive study shows ‘Chitqua’ (c. 1728–1796), a Chinese artist and modeller of portraits in clay, who travelled to England from Canton in 1769. Chitqua’s arrival in London caused great interest: he had an audience with King George III and received commissions for his portraits from the tea merchant, Thomas Todd, and the porcelain manufacturer, Josiah Wedgwood. James Boswell described him as an ‘ingenious artist’ and Wedgwood’s partner, Thomas Bentley, as ‘a goodnatured, sensible man, very mild in his temper and gentle in his motions’.1 His portrait was taken by John Hamilton Mortimer (1770–1), and in 1770 he exhibited one of his full-length clay figures, a ‘model of a Gentleman’, at the Royal Academy.2 Chitqua visited the Academy Schools in the spring of 1771; he appears in the far left-hand corner of Johan Zoffany’s famous painting of the Academicians (1771–2), engaged in conversation with the miniature painter Jeremiah Meyer.3

Charles Grignion the Younger, nephew of the Huguenot engraver Charles Grignion (1721–1810), was admitted to the Royal Academy in 1769, after winning prizes for drawing from the Society of Arts, and studied with Giovanni Battista Cipriani. There are 8 portrait drawings by Grignion II of Royal Academicians in all, probably produced when they were sitting to Zoffany for his painting The Academicians of the Royal Academy (1772). The drawing of the painter Charles Catton (1728–1798), also in the Ashmolean, is specifically inscribed ‘Drawn at the Royal Academy / while standing to Zoffany’; it shows Catton together with the leg of the nude model.4 Another of Grignion’s drawings, portraying Dr William Hunter, the Academy’s Professor of Anatomy, is similarly inscribed, and posed as in Zoffany’s painting.5 The muscular male nude study on the verso of the Ashmolean’s Chitqua sheet also suggests the context of an Academy life-drawing class. Although the figure is not posed as in the Zoffany painting, his left arm is raised above his head, while in Zoffany’s work the model is having his right arm placed in a rope sling, to support it while holding just such a pose.

A second drawing by Grignion of Chitqua in profile was one of the eight drawings described above, sold in the Fitzroy-Newdegate sale of 1952.6 The technique of that drawing appears closer to those of Catton and Hunter, being more broadly hatched, and with Chitqua’s chin is tilted upwards, as in the Zoffany painting. The Ashmolean’s more finished study, idealising the sitter to a greater degree, could have been taken at a second sitting, perhaps with a painted portrait in mind. CP"
