objectID,accessionNumber,accessionYear,title,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,culture,objectDate,medium,dimensions,department,classification,primaryImageSmall,objectURL,tags
78785,2013.895,2013,Seiei: A Design Book 精英,Yamada Naosaburō 山田直三郎,Japanese,,,Japanese,,,,Japan,1907,"Woodblock printed book; ink, color, mica, and metallic pigments on paper",9 13/16 × 7 3/16 in. (25 × 18.2 cm),Asian Art,Illustrated Books,https://images.metmuseum.org/CRDImages/as/web-large/2013_895_03_crd.jpg,https://www.metmuseum.org/art/collection/search/78785,"['Horses', 'Flowers', 'Angels']"
78810,2013.794,2013,Album of the Phoenix Bird (Ranpō jō) 鸞鳳帖,Keian Tenrai 桂庵天籟,Japanese,,,Japanese,,,,Japan,1806 (Bunka 3),"Woodblock printed book (orihon, accordion-style); ink and color on paper with metallic pigments",9 13/16 × 7 1/16 in. (25 × 18 cm),Asian Art,Illustrated Books,https://images.metmuseum.org/CRDImages/as/web-large/2013_794_06_crd.jpg,https://www.metmuseum.org/art/collection/search/78810,"['Fans', 'Women']"
55176,JP3192,1959,Print,Tsuneshige,Japanese,(?),Tsuneshige,Japanese,,,,Japan,ca. 1900,Woodblock print; ink and color on paper,12 7/8 x 8 7/8 in. (32.7 x 22.5 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP143854.jpg,https://www.metmuseum.org/art/collection/search/55176,"['Men', 'Women']"
54764,JP2015,1929,Gold Coins,Asakura Sansho,Japanese,,Asakura Sansho,Japanese,,,,Japan,1813,Woodblock print (surimono); ink and color on paper,5 x 5 3/8 in. (12.7 x 13.7 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP135849.jpg,https://www.metmuseum.org/art/collection/search/54764,['Coins']
54228,JP3390,1960,"The God of Good Fortune Daikoku, on Horseback, Being Led by an Ohara Maiden",Hokkyō Kōitsu,Japanese,,Hokkyō Kōitsu,Japanese,,,,Japan,"probably 1834, year of the horse",Woodblock print (surimono); ink and color on paper,8 3/8 x 7 1/4 in. (21.3 x 18.4 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP143990.jpg,https://www.metmuseum.org/art/collection/search/54228,"['Girls', 'Men', 'Horses']"
53900,JP3433a–c,1975,Bathing in the Sea (Kaisuiyoku),Gyosei Shuntei,Japanese,,Gyosei Shuntei,Japanese,,,,Japan,dated 1898,Triptych of woodblock prints; ink and color on paper,Each panel: 13 9/16 x 9 1/2 in. (34.4 x 24.1 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP151612.jpg,https://www.metmuseum.org/art/collection/search/53900,"['Children', 'Men', 'Women', 'Beaches', 'Bathing']"
36706,JP234,1918,An Entertainment at Shinagawa,Sakuragawa Bunkyo,Japanese,,Sakuragawa Bunkyo,Japanese,,,,Japan,ca. 1788,Right-hand sheet of a triptych of woodblock prints; ink and color on paper,10 1/8 x 7 7/16 in. (25.7 x 18.9 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP114882.jpg,https://www.metmuseum.org/art/collection/search/36706,"['Women', 'Smoking']"
78814,2013.798,2013,Teach Yourself How to Dance (Odori hitori keiko) 踊独稽古;  酒宴即興踊独稽古(しゅえん そっきょう おどりひとりげいこ),Sanshōsai,Japanese,,Sanshōsai,Japanese,,,,Japan,"1814, first month (Bunka 11)",Woodblock printed book; ink and color on paper,5 1/8 × 7 3/8 in. (13 × 18.8 cm),Asian Art,Illustrated Books,https://images.metmuseum.org/CRDImages/as/web-large/2013_798_05_crd.jpg,https://www.metmuseum.org/art/collection/search/78814,"['Musical Instruments', 'Men', 'Women', 'Dancing']"
78762,2013.872,2013,Album of Sketches,Yūkakudō 幽覚堂,Japanese,,,Japanese,,,,Japan,late 18th century (?),"Woodblock printed book (orihon, accordion-style); ink and color on paper",13 3/4 × 11 7/16 in. (35 × 29 cm),Asian Art,Illustrated Books,https://images.metmuseum.org/CRDImages/as/web-large/2013_872_03_crd.jpg,https://www.metmuseum.org/art/collection/search/78762,"['Musical Instruments', 'Fans', 'Men', 'Women']"
53449,2015.300.227a–f,2015,Six Jewel Rivers from Various Provinces,Utagawa Hiroshige,"Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)",,"Utagawa, Hiroshige",Japanese,1797,1858,,Japan,1857,Six woodblock prints; ink and color on paper,"Image (each): 14 1/4 × 9 5/8 in. (36.2 × 24.4 cm)
Mat (each): 22 13/16 × 15 9/16 in. (58 × 39.6 cm)",Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP-13180-023.jpg,https://www.metmuseum.org/art/collection/search/53449,"['Women', 'Rivers', 'Moon', 'Landscapes']"
930218,2025.920,2025,"Bun’ya no Asayasu (no. 36), from the series  A Pictorial Commentary on One Hundred Poems by One Hundred Poets (Hyakunin isshu eshō: Bun'ya no Asayasu)",Utagawa Kunisada,"Japanese, 1786–1864",,Utagawa Kunisada,Japanese,1786,1864,,Japan,ca. 1844,Woodblock print (nishiki-e);  vertical ōban; ink and color on paper,Vertical ōban: 14 1/4 × 10 in. (36.2 × 25.4 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP-42877-001.jpg,https://www.metmuseum.org/art/collection/search/930218,[]
55569,JP3392,1960,An Actor Beside Water,Utagawa Toyokuni I,"Japanese, 1769–1825",,Utagawa Toyokuni I,Japanese,1769,1825,,Japan,,Woodblock print; ink and color on paper,14 x 8 7/8 in. (35.6 x 22.5 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP136993.jpg,https://www.metmuseum.org/art/collection/search/55569,"['Men', 'Actors']"
39799,JP2569,1936,"Under the Wave off Kanagawa (Kanagawa oki nami ura), or The Great Wave, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,,Japan,ca. 1830–32,Woodblock print; ink and color on paper,10 x 15 in. (25.4 x 38.1 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP141042.jpg,https://www.metmuseum.org/art/collection/search/39799,"['Mountains', 'Waves', 'Boats']"
54231,1991.341,1991,Mandarin Ducks in a Spring Landscape: Program for a Jururui Performance,Utamaro II,Japanese (died 1831?),,Utamaro II,Japanese,1750,1850,,Japan,ca. 1807,Woodblock print (surimono); ink and color on paper,15 3/4 x 21 5/8 in. (40 x 54.9 cm) (unfolded),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP144186.jpg,https://www.metmuseum.org/art/collection/search/54231,"['Ducks', 'Poetry']"
55027,JP1090,,A Courtesan with Wisteria on the Background,Utamaro II,Japanese (died 1831?),,Utamaro II,Japanese,1750,1850,,Japan,,Woodblock print; ink and color on paper,H. 14 1/8 in. (35.9 cm); W. 9 1/4 in. (23.5 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP141319.jpg,https://www.metmuseum.org/art/collection/search/55027,"['Women', 'Flowers']"
54878,JP1001,1914,"Group of Women on the Engawa of a Country House, in the time of the Cherry Blossoming",Utamaro II,Japanese (died 1831?),,Utamaro II,Japanese,1750,1850,,Japan,ca. 1806,Woodblock print; ink and color on paper,H. 15 in. (38.1 cm); W. 9 5/8 in. (24.4 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP141304.jpg,https://www.metmuseum.org/art/collection/search/54878,"['Musical Instruments', 'Women', 'Rivers', 'Hills', 'Trees']"
55026,JP1089,,A Courtesan with Morning-glories on the Background,Utamaro II,Japanese (died 1831?),,Utamaro II,Japanese,1750,1850,,Japan,,Woodblock print; ink and color on paper,H. 14 1/4 in. (36.2 cm); W. 9 3/8 in. (23.8),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP141318.jpg,https://www.metmuseum.org/art/collection/search/55026,"['Women', 'Flowers', 'Leaves']"
54879,JP1002,1914,The Oiran Hanaogi of Ogiya attended by Two Shinzo and Her Kamuro Yoshino,Utamaro II,Japanese (died 1831?),,Utamaro II,Japanese,1750,1850,,Japan,ca. 1806,Woodblock print; ink and color on paper,H. 14 5/8 in. (37.1 cm); W. 9 1/2 in. (24.1 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP141305.jpg,https://www.metmuseum.org/art/collection/search/54879,['Women']
54877,JP1000,1914,"The Kōya no Tamagawa, Province of Kii",Utamaro II,Japanese (died 1831?),,Utamaro II,Japanese,1750,1850,,Japan,ca. 1806,Woodblock print; ink and color on paper,H. 13 7/8 in. (35.2 cm); W. 8 7/8 in. (22.5 cm),Asian Art,Prints,https://images.metmuseum.org/CRDImages/as/web-large/DP141337.jpg,https://www.metmuseum.org/art/collection/search/54877,"['Women', 'Streams']"
